Report Date;Milestone Finish Date;Task Code
01.01.2022;01.01.2023;AAPL
01.02.2022;11.01.2023;AAPL
01.03.2022;30.01.2023;AAPL
01.04.2022;26.02.2023;AAPL
01.05.2022;09.03.2023;AAPL
01.06.2022;29.03.2023;AAPL
01.07.2022;26.04.2023;AAPL
01.08.2022;08.05.2023;AAPL
01.09.2022;29.05.2023;AAPL
01.10.2022;27.06.2023;AAPL
01.11.2022;10.07.2023;AAPL
01.12.2022;01.08.2023;AAPL
01.01.2023;31.08.2023;AAPL
01.02.2023;14.09.2023;AAPL
01.03.2023;07.10.2023;AAPL
01.04.2023;07.11.2023;AAPL
01.05.2023;18.11.2023;AAPL
01.06.2023;08.12.2023;AAPL
01.07.2023;05.01.2024;AAPL
01.08.2023;17.01.2024;AAPL
01.09.2023;07.02.2024;AAPL
01.10.2023;07.03.2024;AAPL
01.11.2023;20.03.2024;AAPL
01.12.2023;11.04.2024;AAPL
01.01.2024;11.05.2024;AAPL
01.02.2024;25.05.2024;AAPL
01.03.2024;17.06.2024;AAPL
01.04.2024;18.07.2024;AAPL
01.05.2024;02.08.2024;AAPL
01.06.2024;26.08.2024;AAPL
01.01.2022;01.01.2023;MSFT
01.02.2022;11.01.2023;MSFT
01.03.2022;21.01.2023;MSFT
01.04.2022;31.01.2023;MSFT
01.05.2022;10.02.2023;MSFT
01.06.2022;20.02.2023;MSFT
01.07.2022;02.03.2023;MSFT
01.08.2022;12.03.2023;MSFT
01.09.2022;22.03.2023;MSFT
01.10.2022;01.04.2023;MSFT
01.11.2022;11.04.2023;MSFT
01.12.2022;21.04.2023;MSFT
01.01.2023;01.05.2023;MSFT
01.02.2023;11.05.2023;MSFT
01.03.2023;21.05.2023;MSFT
01.04.2023;31.05.2023;MSFT
01.05.2023;10.06.2023;MSFT
01.06.2023;20.06.2023;MSFT
01.07.2023;01.07.2023;MSFT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
